t,topico,FL,FR,dpad_x
14.037,rodas,31.0,33.0,
14.037,rodas,27.0,33.0,
14.077,rodas,27.0,33.0,
14.077,rodas,29.0,31.0,
14.077,rodas,27.0,31.0,
14.137,rodas,28.0,34.0,
14.137,rodas,28.0,24.0,
14.177,rodas,22.0,24.0,
14.177,rodas,23.0,27.0,
14.177,rodas,23.0,24.0,
14.237,rodas,20.0,25.0,
14.237,rodas,20.0,25.0,
14.277,rodas,19.0,21.0,
14.278,rodas,17.0,22.0,
14.278,rodas,17.0,22.0,
14.337,rodas,18.0,19.0,
14.337,rodas,18.0,19.0,
14.377,rodas,13.0,18.0,
14.377,rodas,13.0,18.0,
14.378,rodas,13.0,15.0,
14.437,rodas,14.0,15.0,
14.437,rodas,14.0,15.0,
14.477,rodas,14.0,16.0,
14.479,rodas,12.0,16.0,
14.480,rodas,12.0,16.0,
14.537,rodas,12.0,12.0,
14.537,rodas,12.0,12.0,
14.577,rodas,12.0,12.0,
14.578,rodas,12.0,12.0,
14.579,rodas,12.0,12.0,
14.637,rodas,12.0,12.0,
14.637,rodas,12.0,12.0,
14.677,rodas,12.0,9.0,
14.677,rodas,12.0,9.0,
14.677,rodas,8.0,9.0,
14.737,rodas,8.0,9.0,
14.737,rodas,8.0,8.0,
14.777,rodas,8.0,8.0,
14.777,rodas,8.0,8.0,
14.777,rodas,8.0,8.0,
14.836,rodas,8.0,8.0,
14.837,rodas,0.0,8.0,
14.877,rodas,0.0,-0.0,
14.878,rodas,0.0,-0.0,
14.878,rodas,0.0,-0.0,
14.937,rodas,0.0,-0.0,
14.937,rodas,0.0,-0.0,
14.977,rodas,0.0,-0.0,
14.977,rodas,0.0,-0.0,
14.977,rodas,0.0,-0.0,
15.037,rodas,0.0,-0.0,
15.037,rodas,0.0,-0.0,
15.077,rodas,0.0,-0.0,
15.077,rodas,0.0,-0.0,
15.078,rodas,0.0,-0.0,
15.137,rodas,0.0,-0.0,
15.137,rodas,0.0,-0.0,
15.177,rodas,0.0,-0.0,
15.178,rodas,0.0,-0.0,
