fonte,t,x,y
caminho_realizado,52.537,4.3169,1.5823
caminho_realizado,52.638,4.3174,1.5824
caminho_realizado,52.739,4.3179,1.5825
caminho_realizado,52.839,4.3184,1.5825
caminho_realizado,52.941,4.3189,1.5826
caminho_realizado,53.041,4.3193,1.5827
caminho_realizado,53.143,4.3198,1.5828
caminho_realizado,53.249,4.3203,1.5828
caminho_realizado,53.352,4.3208,1.5829
caminho_realizado,53.46,4.3214,1.583
caminho_realizado,53.56,4.3218,1.5831
caminho_realizado,53.662,4.3196,1.5817
caminho_realizado,53.762,4.3101,1.5769
caminho_realizado,53.865,4.2935,1.5683
caminho_realizado,53.965,4.2707,1.5565
caminho_realizado,54.066,4.2451,1.5432
caminho_realizado,54.164,4.2196,1.53
