t,fonte,key,mux,roda
59.4807,roda,0.0,0.0,0.0
59.4891,key,0.0,0.0,0.0
59.4894,mux,0.0,0.0,0.0
59.5392,key,0.0,0.0,0.0
59.5395,mux,0.0,0.0,0.0
59.5808,roda,0.0,0.0,0.0
59.589,key,0.0,0.0,0.0
59.5893,mux,0.0,0.0,0.0
59.6391,key,0.0,0.0,0.0
59.6394,mux,0.0,0.0,0.0
59.6807,roda,0.0,0.0,0.0
59.6891,key,0.0,0.0,0.0
59.6895,mux,0.0,0.0,0.0
59.7391,key,0.0,0.0,0.0
59.7396,mux,0.0,0.0,0.0
59.7808,roda,0.0,0.0,0.0
59.789,key,0.0,0.0,0.0
59.7892,mux,0.0,0.0,0.0
59.839,key,0.0,0.0,0.0
59.8394,mux,0.0,0.0,0.0
59.8807,roda,0.0,0.0,0.0
59.8891,key,0.0,0.0,0.0
59.8893,mux,0.0,0.0,0.0
59.9392,key,0.0,0.0,0.0
59.9395,mux,0.0,0.0,0.0
59.9806,roda,0.0,0.0,0.0
59.989,key,0.0,0.0,0.0
59.9893,mux,0.0,0.0,0.0
60.0391,key,0.0,0.0,0.0
60.0395,mux,0.0,0.0,0.0
60.0807,roda,0.0,0.0,0.0
60.089,key,0.0,0.0,0.0
60.0893,mux,0.0,0.0,0.0
60.1391,key,0.0,0.0,0.0
60.1395,mux,0.0,0.0,0.0
60.1807,roda,0.0,0.0,0.0
60.189,key,0.0,0.0,0.0
60.1894,mux,0.0,0.0,0.0
60.2391,key,0.0,0.0,0.0
60.2395,mux,0.0,0.0,0.0
60.2807,roda,0.0,0.0,0.0
60.2891,key,0.0,0.0,0.0
60.2895,mux,0.0,0.0,0.0
60.3391,key,0.0,0.0,0.0
60.3395,mux,0.0,0.0,0.0
60.3806,roda,0.0,0.0,0.0
60.3891,key,0.0,0.0,0.0
60.3893,mux,0.0,0.0,0.0
60.4391,key,0.0,0.0,0.0
60.4395,mux,0.0,0.0,0.0
60.4807,roda,0.0,0.0,0.0
60.4891,key,0.0,0.0,0.0
60.4895,mux,0.0,0.0,0.0
60.5391,key,0.0,0.0,0.0
60.5395,mux,0.0,0.0,0.0
60.5808,roda,0.0,0.0,0.0
60.5891,key,0.0,0.0,0.0
60.5894,mux,0.0,0.0,0.0
60.6392,key,0.0,0.0,0.0
60.6395,mux,0.0,0.0,0.0
60.6808,roda,0.0,0.0,0.0
60.689,key,0.0,0.0,0.0
60.6893,mux,0.0,0.0,0.0
60.7391,key,0.0,0.0,0.0
60.7394,mux,0.0,0.0,0.0
60.7807,roda,0.0,0.0,0.0
60.7891,key,0.0,0.0,0.0
60.7893,mux,0.0,0.0,0.0
60.8391,key,0.0,0.0,0.0
60.8395,mux,0.0,0.0,0.0
60.8808,roda,0.0,0.0,0.0
60.8891,key,0.0,0.0,0.0
60.8894,mux,0.0,0.0,0.0
60.9391,key,0.0,0.0,0.0
60.9395,mux,0.0,0.0,0.0
60.9807,roda,0.0,0.0,0.0
60.9891,key,0.0,0.0,0.0
60.9894,mux,0.0,0.0,0.0
61.0392,key,0.0,0.0,0.0
61.0395,mux,0.0,0.0,0.0
61.0809,roda,0.0,0.0,0.0
61.089,key,0.0,0.0,0.0
61.0893,mux,0.0,0.0,0.0
61.1391,key,0.0,0.0,0.0
61.1395,mux,0.0,0.0,0.0
61.1808,roda,0.0,0.0,0.0
61.1891,key,0.0,0.0,0.0
61.1894,mux,0.0,0.0,0.0
61.2391,key,0.0,0.0,0.0
61.2395,mux,0.0,0.0,0.0
61.2807,roda,0.0,0.0,0.0
61.2891,key,0.0,0.0,0.0
61.2894,mux,0.0,0.0,0.0
61.3392,key,0.0,0.0,0.0
61.3396,mux,0.0,0.0,0.0
61.3807,roda,0.0,0.0,0.0
61.3891,key,0.0,0.0,0.0
61.3894,mux,0.0,0.0,0.0
61.4391,key,0.0,0.0,0.0
61.4395,mux,0.0,0.0,0.0
61.4807,roda,0.0,0.0,0.0
61.4891,key,0.0,0.0,0.0
61.4896,mux,0.0,0.0,0.0
61.5391,key,0.0,0.0,0.0
61.5395,mux,0.0,0.0,0.0
61.5807,roda,0.0,0.0,0.0
61.589,key,0.0,0.0,0.0
61.5894,mux,0.0,0.0,0.0
61.6391,key,0.0,0.0,0.0
