i,angulo,alcance,x,y,ate_parede
286,1.85,15.167,6.158,16.726,0.112
287,1.8675,11.587,5.866,13.151,0.112
288,1.885,10.5,5.674,12.063,0.05
289,1.9024,8.834,5.537,10.395,0.15
290,1.9199,7.84,5.427,9.396,
291,1.9373,5.987,5.405,7.54,0.1
292,1.9548,5.926,5.306,7.471,0.05
293,1.9722,5.84,5.211,7.377,0.158
294,1.9897,4.754,5.234,6.287,0.112
295,2.0071,4.236,5.22,5.764,0.05
296,2.0246,3.928,5.192,5.448,0.05
297,2.042,3.582,5.182,5.096,0.112
298,2.0595,3.355,5.162,4.863,0.071
299,2.0769,3.127,5.15,4.628,0.1
300,2.0944,2.942,5.137,4.436,0.05
301,2.1118,2.768,5.128,4.255,0.05
302,2.1293,2.618,5.119,4.099,0.05
303,2.1468,2.496,5.108,3.969,0.071
304,2.1642,2.353,5.106,3.82,0.05
305,2.1817,2.254,5.097,3.713,0.071
306,2.1991,2.174,5.085,3.625,0.071
307,2.2166,2.068,5.085,3.513,0.05
308,2.234,2.068,5.051,3.5,0.05
309,2.2515,2.075,5.015,3.494,0.1
310,2.2689,2.094,4.974,3.498,0.112
311,2.2864,2.046,4.959,3.44,0.071
312,2.3038,1.98,4.954,3.365,0.05
313,2.3213,1.917,4.95,3.294,0.05
314,2.3387,1.858,4.946,3.226,0.05
315,2.3562,1.808,4.941,3.167,0.0
316,2.3736,1.768,4.932,3.117,0.05
317,2.3911,1.708,4.935,3.05,0.05
318,2.4086,1.663,4.932,2.996,0.05
319,2.426,1.632,4.923,2.955,0.05
320,2.4435,1.589,4.922,2.904,0.05
321,2.4609,1.545,4.923,2.851,0.05
322,2.4784,1.511,4.92,2.809,0.05
323,2.4958,1.496,4.907,2.781,0.05
324,2.5133,1.271,5.02,2.585,0.112
325,2.5307,1.111,5.1,2.445,0.0
326,2.5482,1.082,5.103,2.41,0.05
327,2.5656,1.07,5.096,2.389,0.05
328,2.5831,1.052,5.093,2.363,0.0
329,2.6005,1.03,5.094,2.335,0.0
330,2.618,1.01,5.094,2.308,0.0
331,2.6354,0.99,5.095,2.282,0.0
332,2.6529,0.982,5.088,2.264,0.0
333,2.6704,0.963,5.089,2.239,0.0
334,2.6878,0.95,5.087,2.218,0.0
335,2.7053,0.934,5.088,2.194,0.0
336,2.7227,0.93,5.08,2.18,0.05
337,2.7402,0.908,5.086,2.153,0.05
338,2.7576,0.897,5.084,2.134,0.05
339,2.7751,0.888,5.082,2.116,0.05
340,2.7925,0.883,5.076,2.101,0.05
341,2.81,0.864,5.082,2.077,0.05
342,2.8274,0.866,5.072,2.066,0.05
343,2.8449,0.87,5.06,2.056,0.05
344,2.8623,0.899,5.027,2.06,0.05
345,2.8798,0.928,4.994,2.062,0.05
346,2.8972,0.951,4.966,2.06,0.071
347,2.9147,0.948,4.96,2.045,0.071
348,2.9322,0.953,4.947,2.033,0.071
349,2.9496,0.991,4.906,2.036,0.1
350,2.9671,1.027,4.866,2.037,0.1
351,2.9845,1.084,4.807,2.047,0.1
352,3.002,1.081,4.801,2.029,0.05
353,3.0194,1.087,4.788,2.014,0.05
354,3.0369,1.13,4.74,2.014,0.05
355,3.0543,1.169,4.697,2.011,0.05
356,3.0718,1.217,4.645,2.009,0.05
357,3.0892,1.282,4.575,2.012,0.05
358,3.1067,1.347,4.507,2.012,0.05
359,3.1241,1.407,4.442,2.009,0.05
