t,fonte,key,mux,roda
17.4894,roda,0.0,0.0,0.0
17.5894,roda,0.0,0.0,0.0
17.6894,roda,0.0,0.0,0.0
17.7911,roda,0.0,0.0,0.0
17.8897,roda,0.0,0.0,0.0
17.9898,roda,0.0,0.0,0.0
18.0894,roda,0.0,0.0,0.0
18.1894,roda,0.0,0.0,0.0
18.2895,roda,0.0,0.0,0.0
18.3896,roda,0.0,0.0,0.0
18.4894,roda,0.0,0.0,0.0
18.5895,roda,0.0,0.0,0.0
18.6895,roda,0.0,0.0,0.0
18.7894,roda,0.0,0.0,0.0
18.8901,roda,0.0,0.0,0.0
18.9908,roda,0.0,0.0,0.0
19.0897,roda,0.0,0.0,0.0
19.1895,roda,0.0,0.0,0.0
19.2895,roda,0.0,0.0,0.0
19.3894,roda,0.0,0.0,0.0
19.4908,roda,0.0,0.0,0.0
19.5896,roda,0.0,0.0,0.0
19.6899,roda,0.0,0.0,0.0
19.7896,roda,0.0,0.0,0.0
19.8897,roda,0.0,0.0,0.0
19.9911,roda,0.0,0.0,0.0
20.0895,roda,0.0,0.0,0.0
20.1917,roda,0.0,0.0,0.0
20.2896,roda,0.0,0.0,0.0
20.3912,roda,0.0,0.0,0.0
20.4894,roda,0.0,0.0,0.0
20.5894,roda,0.0,0.0,0.0
20.6915,roda,0.0,0.0,0.0
20.7894,roda,0.0,0.0,0.0
20.8894,roda,0.0,0.0,0.0
20.9895,roda,0.0,0.0,0.0
21.0895,roda,0.0,0.0,0.0
21.1894,roda,0.0,0.0,0.0
21.2914,roda,0.0,0.0,0.0
21.3896,roda,0.0,0.0,0.0
21.4914,roda,0.0,0.0,0.0
21.5896,roda,0.0,0.0,0.0
21.6898,roda,0.0,0.0,0.0
21.7895,roda,0.0,0.0,0.0
21.8895,roda,0.0,0.0,0.0
21.9895,roda,0.0,0.0,0.0
22.0895,roda,0.0,0.0,0.0
22.1894,roda,0.0,0.0,0.0
22.2904,roda,0.0,0.0,0.0
22.3896,roda,0.0,0.0,0.0
22.4894,roda,0.0,0.0,0.0
22.5896,roda,0.0,0.0,0.0
22.6902,roda,0.0,0.0,0.0
22.7897,roda,0.0,0.0,0.0
22.8895,roda,0.0,0.0,0.0
22.9895,roda,0.0,0.0,0.0
23.0895,roda,0.0,0.0,0.0
23.1896,roda,0.0,0.0,0.0
23.2895,roda,0.0,0.0,0.0
23.3914,roda,0.0,0.0,0.0
23.4894,roda,0.0,0.0,0.0
23.5898,roda,0.0,0.0,0.0
23.6895,roda,0.0,0.0,0.0
23.79,roda,0.0,0.0,0.0
23.8895,roda,0.0,0.0,0.0
23.9914,roda,0.0,0.0,0.0
24.0898,roda,0.0,0.0,0.0
24.1915,roda,0.0,0.0,0.0
24.2896,roda,0.0,0.0,0.0
24.3905,roda,0.0,0.0,0.0
24.4898,roda,0.0,0.0,0.0
24.5896,roda,0.0,0.0,0.0
24.6902,roda,0.0,0.0,0.0
24.7895,roda,0.0,0.0,0.0
24.8899,roda,0.0,0.0,0.0
24.9911,roda,0.0,0.0,0.0
25.0895,roda,0.0,0.0,0.0
25.1896,roda,0.0,0.0,0.0
25.2895,roda,0.0,0.0,0.0
25.3895,roda,0.0,0.0,0.0
25.4895,roda,0.0,0.0,0.0
25.5895,roda,0.0,0.0,0.0
25.6895,roda,0.0,0.0,0.0
25.7912,roda,0.0,0.0,0.0
25.8895,roda,0.0,0.0,0.0
25.9914,roda,0.0,0.0,0.0
26.0896,roda,0.0,0.0,0.0
26.1899,roda,0.0,0.0,0.0
26.2895,roda,0.0,0.0,0.0
26.3901,roda,0.0,0.0,0.0
26.4899,roda,0.0,0.0,0.0
26.5912,roda,0.0,0.0,0.0
26.6895,roda,0.0,0.0,0.0
26.7918,roda,0.0,0.0,0.0
26.8896,roda,0.0,0.0,0.0
26.9912,roda,0.0,0.0,0.0
27.0895,roda,0.0,0.0,0.0
27.1908,roda,0.0,0.0,0.0
27.2901,roda,0.0,0.0,0.0
27.3915,roda,0.0,0.0,0.0
27.4896,roda,0.0,0.0,0.0
27.5895,roda,0.0,0.0,0.0
27.6904,roda,0.0,0.0,0.0
27.7895,roda,0.0,0.0,0.0
27.8912,roda,0.0,0.0,0.0
27.9895,roda,0.0,0.0,0.0
28.0899,roda,0.0,0.0,0.0
28.1895,roda,0.0,0.0,0.0
28.29,roda,0.0,0.0,0.0
28.3894,roda,0.0,0.0,0.0
28.4899,roda,0.0,0.0,0.0
28.5903,roda,0.0,0.0,0.0
28.6894,roda,0.0,0.0,0.0
28.7895,roda,0.0,0.0,0.0
28.8895,roda,0.0,0.0,0.0
28.9895,roda,0.0,0.0,0.0
29.0895,roda,0.0,0.0,0.0
29.1895,roda,0.0,0.0,0.0
29.2896,roda,0.0,0.0,0.0
29.3894,roda,0.0,0.0,0.0
29.4914,roda,0.0,0.0,0.0
29.5895,roda,0.0,0.0,0.0
29.6896,roda,0.0,0.0,0.0
29.7894,roda,0.0,0.0,0.0
29.8894,roda,0.0,0.0,0.0
29.9901,roda,0.0,0.0,0.0
30.0897,roda,0.0,0.0,0.0
30.191,roda,0.0,0.0,0.0
30.2896,roda,0.0,0.0,0.0
30.3896,roda,0.0,0.0,0.0
30.4894,roda,0.0,0.0,0.0
30.5896,roda,0.0,0.0,0.0
30.6895,roda,0.0,0.0,0.0
30.7895,roda,0.0,0.0,0.0
30.8895,roda,0.0,0.0,0.0
30.9905,roda,0.0,0.0,0.0
31.0895,roda,0.0,0.0,0.0
31.1894,roda,0.0,0.0,0.0
31.2895,roda,0.0,0.0,0.0
31.3898,roda,0.0,0.0,0.0
31.4897,roda,0.0,0.0,0.0
31.5895,roda,0.0,0.0,0.0
31.6895,roda,0.0,0.0,0.0
31.7897,roda,0.0,0.0,0.0
31.8894,roda,0.0,0.0,0.0
31.9895,roda,0.0,0.0,0.0
32.0896,roda,0.0,0.0,0.0
32.1896,roda,0.0,0.0,0.0
32.2908,roda,0.0,0.0,0.0
32.3895,roda,0.0,0.0,0.0
32.4913,roda,0.0,0.0,0.0
32.5896,roda,0.0,0.0,0.0
32.6899,roda,0.0,0.0,0.0
32.7895,roda,0.0,0.0,0.0
32.8895,roda,0.0,0.0,0.0
32.9901,roda,0.0,0.0,0.0
33.0896,roda,0.0,0.0,0.0
33.1912,roda,0.0,0.0,0.0
33.2895,roda,0.0,0.0,0.0
33.3915,roda,0.0,0.0,0.0
33.4895,roda,0.0,0.0,0.0
33.5896,roda,0.0,0.0,0.0
33.6896,roda,0.0,0.0,0.0
33.7895,roda,0.0,0.0,0.0
33.8896,roda,0.0,0.0,0.0
33.9896,roda,0.0,0.0,0.0
34.0917,roda,0.0,0.0,0.0
34.1895,roda,0.0,0.0,0.0
34.2901,roda,0.0,0.0,0.0
34.3896,roda,0.0,0.0,0.0
34.4895,roda,0.0,0.0,0.0
34.5895,roda,0.0,0.0,0.0
34.6895,roda,0.0,0.0,0.0
34.7895,roda,0.0,0.0,0.0
34.8895,roda,0.0,0.0,0.0
34.9895,roda,0.0,0.0,0.0
35.0895,roda,0.0,0.0,0.0
35.1914,roda,0.0,0.0,0.0
35.2896,roda,0.0,0.0,0.0
35.3895,roda,0.0,0.0,0.0
35.4895,roda,0.0,0.0,0.0
35.5895,roda,0.0,0.0,0.0
35.6895,roda,0.0,0.0,0.0
35.7895,roda,0.0,0.0,0.0
35.8895,roda,0.0,0.0,0.0
35.9895,roda,0.0,0.0,0.0
36.0895,roda,0.0,0.0,0.0
36.1895,roda,0.0,0.0,0.0
36.2895,roda,0.0,0.0,0.0
36.3895,roda,0.0,0.0,0.0
36.4895,roda,0.0,0.0,0.0
36.5897,roda,0.0,0.0,0.0
36.6898,roda,0.0,0.0,0.0
36.7898,roda,0.0,0.0,0.0
36.8897,roda,0.0,0.0,0.0
36.9896,roda,0.0,0.0,0.0
37.0895,roda,0.0,0.0,0.0
37.1895,roda,0.0,0.0,0.0
37.2897,roda,0.0,0.0,0.0
37.3895,roda,0.0,0.0,0.0
37.4897,roda,0.0,0.0,0.0
37.5895,roda,0.0,0.0,0.0
37.6899,roda,0.0,0.0,0.0
37.7895,roda,0.0,0.0,0.0
37.89,roda,0.0,0.0,0.0
37.9909,roda,0.0,0.0,0.0
38.0895,roda,0.0,0.0,0.0
38.1913,roda,0.0,0.0,0.0
38.2896,roda,0.0,0.0,0.0
38.3909,roda,0.0,0.0,0.0
38.4896,roda,0.0,0.0,0.0
38.5918,roda,0.0,0.0,0.0
38.6896,roda,0.0,0.0,0.0
38.7916,roda,0.0,0.0,0.0
38.8896,roda,0.0,0.0,0.0
38.9896,roda,0.0,0.0,0.0
39.337,roda,0.0,0.0,0.0
39.3896,roda,0.0,0.0,0.0
39.4895,roda,0.0,0.0,0.0
39.5898,roda,0.0,0.0,0.0
39.6896,roda,0.0,0.0,0.0
