t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
34.65,seguindo,1.5149,-0.0552,0.0777,-0.071,-0.1487,0.5,4.2139,9.8424,1.0,2.5037,-0.1256,0.0508
34.7,seguindo,1.5233,-0.0546,0.0777,-0.0723,-0.15,0.5,4.2056,9.8424,1.0,2.5037,-0.1256,0.0516
34.75,seguindo,1.5387,-0.0535,0.0793,-0.0741,-0.1534,0.5,4.1905,7.4526,1.0,2.5537,-0.1288,0.0529
34.8,seguindo,1.5503,-0.0527,0.0811,-0.0757,-0.1568,0.5,4.1792,7.4526,1.0,2.5537,-0.1288,0.0538
34.85,seguindo,1.5677,-0.0515,0.0837,-0.0783,-0.162,0.5,4.1621,7.4526,1.0,2.5537,-0.1288,0.0553
34.901,seguindo,1.5851,-0.0502,0.0863,-0.0807,-0.167,0.5,4.145,6.0071,1.0,2.6036,-0.1326,0.0568
34.95,seguindo,1.5967,-0.0493,0.0881,-0.0843,-0.1724,0.5,4.1422,6.0071,1.0,2.6137,-0.1352,0.0614
35.0,seguindo,1.6083,-0.0484,0.0899,-0.0861,-0.176,0.5,4.1308,6.0071,1.0,2.6137,-0.1352,0.0625
35.05,seguindo,1.6258,-0.047,0.0919,-0.0891,-0.1809,0.5,4.1136,6.0071,1.0,2.6137,-0.1352,0.0641
35.1,seguindo,1.6375,-0.046,0.0929,-0.0912,-0.184,0.5,4.102,6.0071,1.0,2.6137,-0.1352,0.0653
35.15,seguindo,1.6552,-0.0444,0.0934,-0.0939,-0.1874,0.5,4.0846,5.2609,1.0,2.6636,-0.1394,0.0671
35.2,seguindo,1.667,-0.0433,0.0935,-0.0961,-0.1897,0.5,4.0729,5.2609,1.0,2.6636,-0.1394,0.0683
35.25,seguindo,1.6846,-0.0417,0.0947,-0.0994,-0.1942,0.5,4.0556,5.2609,1.0,2.6636,-0.1394,0.0701
35.3,seguindo,1.6963,-0.0407,0.0959,-0.1008,-0.1967,0.5,4.0441,5.1954,1.0,2.7136,-0.1436,0.0713
35.35,seguindo,1.7137,-0.0392,0.0982,-0.104,-0.2023,0.5,4.0269,5.1954,1.0,2.7136,-0.1436,0.073
35.4,seguindo,1.7253,-0.0382,0.1,-0.1062,-0.2063,0.5,4.0155,5.1954,1.0,2.7136,-0.1436,0.0741
35.45,seguindo,1.7426,-0.0367,0.1028,-0.1079,-0.2107,0.5,3.9985,6.3106,1.0,2.7635,-0.1473,0.0759
35.5,seguindo,1.7542,-0.0356,0.1046,-0.1102,-0.2148,0.5,3.9871,6.3106,1.0,2.7635,-0.1473,0.0771
35.55,seguindo,1.7715,-0.034,0.1074,-0.1137,-0.2211,0.5,3.97,6.3106,1.0,2.7635,-0.1473,0.0789
35.6,seguindo,1.7831,-0.0329,0.1094,-0.1161,-0.2255,0.5,3.9586,6.3106,1.0,2.7635,-0.1473,0.0802
35.65,seguindo,1.8004,-0.0312,0.1123,-0.1165,-0.2288,0.5,3.9415,6.0071,1.0,2.8135,-0.1497,0.0821
35.7,seguindo,1.8119,-0.0301,0.1143,-0.1189,-0.2332,0.5,3.9301,6.0071,1.0,2.8135,-0.1497,0.0834
35.75,seguindo,1.8293,-0.0283,0.1171,-0.1228,-0.2399,0.5,3.913,6.0071,1.0,2.8135,-0.1497,0.0853
35.8,seguindo,1.8408,-0.0271,0.119,-0.1199,-0.2389,0.5,3.9016,5.2609,1.0,2.8635,-0.1502,0.0867
35.85,seguindo,1.8581,-0.0252,0.1218,-0.1373,-0.2591,0.5,3.8881,5.2609,1.0,2.8645,-0.1642,0.0865
35.9,seguindo,1.8697,-0.0239,0.1236,-0.1401,-0.2637,0.5,3.8766,5.2609,1.0,2.8645,-0.1642,0.0881
35.95,seguindo,1.887,-0.022,0.1263,-0.1445,-0.2708,0.5,3.8594,5.2609,1.0,2.8645,-0.1642,0.0906
36.0,seguindo,1.8985,-0.0206,0.128,-0.1391,-0.2672,0.5,3.848,3.7642,1.0,2.9146,-0.1629,0.0922
36.05,seguindo,1.9128,-0.0189,0.1291,-0.1428,-0.2719,0.5,3.8338,3.7642,1.0,2.9146,-0.1629,0.0944
36.1,seguindo,1.921,-0.0178,0.1291,-0.145,-0.2741,0.5,3.8256,3.7642,1.0,2.9146,-0.1629,0.0957
36.15,seguindo,1.9363,-0.0159,0.1308,-0.1492,-0.28,0.5,3.8104,3.7642,1.0,2.9146,-0.1629,0.098
36.2,seguindo,1.9478,-0.0145,0.1326,-0.1405,-0.2731,0.5,3.799,1.9903,1.0,2.9647,-0.1584,0.0997
36.25,seguindo,1.9651,-0.0124,0.1353,-0.145,-0.2803,0.5,3.7817,1.9903,1.0,2.9647,-0.1584,0.1023
36.3,seguindo,1.9766,-0.011,0.137,-0.1481,-0.2851,0.5,3.7703,1.9903,1.0,2.9647,-0.1584,0.1041
36.35,seguindo,1.9939,-0.0088,0.1397,-0.281,-0.4207,0.5,3.753,22.3577,0.37,2.4153,-0.1304,0.1068
