pid,ppid,pgid,sid,starttime,estado,marcado,argv
10527,7693,4360,4360,15790,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=35 --launch-time-ticks=157898056 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,12904230655237534117,9598998234154454035,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709019108336209"
10715,7693,4360,4360,16000,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11 --launch-time-ticks=160003471 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,3784233389767638041,7496503247095553740,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190708996619331833"
11221,7693,4360,4360,16581,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=38 --launch-time-ticks=165814803 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,10545046132122942590,25856410008558777,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709021919461756"
11315,4312,4312,4312,16697,S,False,/usr/bin/update-notifier
17323,6953,17323,17323,24717,S,False,/bin/bash
17764,7042,17764,7042,25280,S,False,claude --dangerously-skip-permissions
18005,17323,18005,17323,25590,S,False,node /home/rbe-luis/.npm-global/bin/codex --yolo
18285,18005,18005,17323,25900,S,False,/home/rbe-luis/.npm-global/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/bin/codex --yolo
33846,18285,33846,17323,45666,S,False,/home/rbe-luis/.npm-global/lib/node_modules/@openai/codex/node_modules/@openai/codex-linux-x64/vendor/x86_64-unknown-linux-musl/bin/codex-code-mode-host
89007,7693,4360,4360,119852,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=59 --launch-time-ticks=1198520685 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,17238373815553329018,2229367086668808245,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709041597340585"
219281,7693,4360,4360,299701,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=60 --launch-time-ticks=2996997473 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,16618001555582138095,3600748485321787431,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709042534382434"
220353,7693,4360,4360,301506,S,False,"/snap/chromium/3529/usr/lib/chromium-browser/chrome --type=renderer --crashpad-handler-pid=7467 --enable-crash-reporter=,snap --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=62 --launch-time-ticks=3015045836 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,7730864018927911369,1354605364913229559,1572864 --field-trial-handle=3,i,16146245858089651254,3047371716954415568,262144 --disable-features=TFLiteLanguageDetectionEnabled --variations-seed-version --pseudonymization-salt-handle=7,i,14123855985043092751,13268431499495229344,4 --trace-process-track-uuid=3190709044408466132"
