fase,trecho,t,x,y,yaw,v_pose,wz_pose,cmd_v_bruto,cmd_wz_bruto,cmd_v_placa,cmd_wz_placa,cmd_v,cmd_wz,alvo_x,alvo_y,dist
afericao,giro_030,3.677,0.0253,-0.059,0.81,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.677,0.0253,-0.059,0.81,-0.021,0.2571,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.678,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.678,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.679,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.679,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.68,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.68,0.0253,-0.059,0.81,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.681,0.0253,-0.059,0.81,-0.019,0.2326,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.681,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.681,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.682,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.682,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.682,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
afericao,giro_030,3.683,0.0256,-0.0593,0.8151,-0.0211,0.2584,0.0,0.0,0.0,0.3,0.0,0.3,,,
