dente,fase,t,cmd_v,v_esq,v_dir,x,y,yaw
0,para,2.1790332794189453,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.184493064880371,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.189955234527588,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.1953866481781006,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.200805902481079,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2062458992004395,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.21170711517334,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.217165231704712,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.222564458847046,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.227980375289917,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.233448028564453,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2389719486236572,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.244480848312378,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2501752376556396,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.251131534576416,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.251394510269165,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.251936435699463,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2521398067474365,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.252622365951538,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2528090476989746,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.253227472305298,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.253443479537964,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.253835916519165,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2540032863616943,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.25441312789917,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2545700073242188,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2549827098846436,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.255148410797119,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.255488157272339,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2556326389312744,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.256476879119873,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2567973136901855,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2622177600860596,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2677531242370605,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2733025550842285,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.278866767883301,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.284381628036499,0.0,0.0,-0.0,0.33725068347207837,0.228603618500661,0.6680623014463397
0,para,2.2871289253234863,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.292725086212158,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.298361301422119,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.304203987121582,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
0,para,2.31018328666687,0.0,0.0,-0.0,0.3347086270521285,0.22830848088421948,0.6723637669624871
