t,x,y,yaw,alvo_x,alvo_y,dist,rumo_alvo,erro,v_alvo,cmd_v,cmd_wz,saiu_v,saiu_wz
9.5,0.7917,-0.2867,-1.7913,-1.0215473175048828,-0.3315286636352539,1.8138,-3.1116,-1.3203,0.5,0.2197,-0.8971,0.2197,-0.8971
9.552,0.7948,-0.301,-1.8343,-1.0215473175048828,-0.3315286636352539,1.8166,-3.1169,-1.2826,0.5,0.219,-0.89,0.219,-0.89
9.602,0.7973,-0.3153,-1.8767,-1.0215473175048828,-0.3315286636352539,1.8189,-3.1248,-1.2481,0.5,0.2177,-0.8772,0.2177,-0.8772
9.651,0.7985,-0.3249,-1.9047,-1.0215473175048828,-0.3315286636352539,1.8201,-3.138,-1.2333,0.5,0.217,-0.8702,0.217,-0.8702
9.7,0.7999,-0.3392,-1.9462,-1.0215473175048828,-0.3315286636352539,1.8214,-3.138,-1.1918,0.5,0.2158,-0.8584,0.2158,-0.8584
9.75,0.8004,-0.3488,-1.9735,-1.0215473175048828,-0.3315286636352539,1.822,3.1374,-1.1723,0.5,0.2146,-0.8456,0.2146,-0.8456
9.8,0.8006,-0.3582,-2.0005,-1.0215473175048828,-0.3315286636352539,1.8224,3.1321,-1.1505,0.5,0.2139,-0.8387,0.2139,-0.8387
9.851,0.8005,-0.3724,-2.0407,-1.0215473175048828,-0.3315286636352539,1.8225,3.1269,-1.1156,0.5,0.2131,-0.8309,0.2131,-0.8309
9.9,0.7997,-0.3864,-2.0803,-1.0215473175048828,-0.3315286636352539,1.8221,3.114,-1.0889,0.5,0.2118,-0.8181,0.2118,-0.8181
9.95,0.7989,-0.3957,-2.1064,-1.0215473175048828,-0.3315286636352539,1.8216,3.114,-1.0628,0.5,0.2111,-0.8112,0.2111,-0.8112
10.0,0.7978,-0.4049,-2.1322,-1.0215473175048828,-0.3315286636352539,1.8209,3.1064,-1.0446,0.5,0.2099,-0.7986,0.2099,-0.7986
10.05,0.7957,-0.4186,-2.1705,-1.0215473175048828,-0.3315286636352539,1.8194,3.0937,-1.019,0.5,0.2092,-0.7917,0.2092,-0.7917
10.1,0.7931,-0.432,-2.2082,-1.0215473175048828,-0.3315286636352539,1.8174,3.0937,-0.9812,0.5,0.2079,-0.779,0.2079,-0.779
10.15,0.7911,-0.4409,-2.2331,-1.0215473175048828,-0.3315286636352539,1.8159,3.0887,-0.9614,0.5,0.2067,-0.7673,0.2067,-0.7673
10.2,0.7888,-0.4496,-2.2575,-1.0215473175048828,-0.3315286636352539,1.8142,3.0764,-0.9492,0.5,0.2059,-0.7595,0.2059,-0.7595
10.251,0.7849,-0.4626,-2.2939,-1.0215473175048828,-0.3315286636352539,1.8112,3.0764,-0.9129,0.5,0.2053,-0.7527,0.2053,-0.7527
10.301,0.7806,-0.4753,-2.3297,-1.0215473175048828,-0.3315286636352539,1.8079,3.0692,-0.8843,0.5,0.204,-0.7401,0.204,-0.7401
10.35,0.7775,-0.4836,-2.3533,-1.0215473175048828,-0.3315286636352539,1.8055,3.0644,-0.8655,0.5,0.2033,-0.7333,0.2033,-0.7333
10.4,0.7742,-0.4918,-2.3767,-1.0215473175048828,-0.3315286636352539,1.8029,3.0573,-0.8492,0.5,0.2021,-0.7206,0.2021,-0.7206
10.45,0.7688,-0.5038,-2.4112,-1.0215473175048828,-0.3315286636352539,1.7986,3.0526,-0.8194,0.5,0.2011,-0.7109,0.2011,-0.7109
10.5,0.765,-0.5116,-2.4339,-1.0215473175048828,-0.3315286636352539,1.7956,3.0457,-0.8036,0.5,0.2001,-0.7012,0.2001,-0.7012
10.55,0.759,-0.5231,-2.4674,-1.0215473175048828,-0.3315286636352539,1.7908,3.0411,-0.7746,0.5,0.1994,-0.6944,0.1994,-0.6944
10.6,0.7548,-0.5307,-2.4895,-1.0215473175048828,-0.3315286636352539,1.7874,3.0344,-0.7593,0.5,0.1982,-0.6817,0.1982,-0.6817
