t,x,y,yaw,dist,plano_n,raw_v,raw_wz,saida_v,saida_wz,mux_v,mux_wz,key_v
17.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.451,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.75,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.8,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.85,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.9,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.95,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.05,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.1,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.15,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.2,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.25,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.3,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.35,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.4,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.45,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.5,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.55,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.6,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.65,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.7,0.1882,-0.9554,2.1522,12.8694,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
